date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:39:01	32758/32758	---M--	200	added ('OK')	image/gif	etag:%220adf5653735c51:1666%22	http://jiba.niu.bi/images/penisimg/reproduction.gif	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/reproduction.gif	(from http://jiba.niu.bi/chapters/0001.html)
10:39:01	7606/7606	---M--	200	added ('OK')	image/jpeg	etag:%2202addd0f943c51:1666%22	http://jiba.niu.bi/images/penisimg/pcmuscle.jpg	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/pcmuscle.jpg	(from http://jiba.niu.bi/chapters/0001.html)
10:39:02	7719/7719	---M--	200	added ('OK')	image/jpeg	etag:%22072d74cfa43c51:1666%22	http://jiba.niu.bi/images/penisimg/hot1.jpg	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/hot1.jpg	(from http://jiba.niu.bi/chapters/0001.html)
10:39:02	7975/7975	---M--	200	added ('OK')	image/jpeg	etag:%220dd1c42fa43c51:1666%22	http://jiba.niu.bi/images/penisimg/hot2.jpg	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/hot2.jpg	(from http://jiba.niu.bi/chapters/0001.html)
10:39:02	10075/10075	---M--	200	added ('OK')	image/jpeg	etag:%22052c5502835c51:1666%22	http://jiba.niu.bi/images/penisimg/hold1.jpg	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/hold1.jpg	(from http://jiba.niu.bi/chapters/0001.html)
10:39:03	10604/10604	---M--	200	added ('OK')	image/jpeg	etag:%2207ff6512835c51:1666%22	http://jiba.niu.bi/images/penisimg/hold2.jpg	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/hold2.jpg	(from http://jiba.niu.bi/chapters/0001.html)
10:39:03	9937/9937	---M--	200	added ('OK')	image/gif	etag:%22050e43853ac51:1666%22	http://jiba.niu.bi/images/penisimg/jelq1.gif	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/jelq1.gif	(from http://jiba.niu.bi/chapters/0010.html)
10:39:04	14266/14266	---M--	200	added ('OK')	image/gif	etag:%22091de22853ac51:1666%22	http://jiba.niu.bi/images/penisimg/jelq2.gif	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/jelq2.gif	(from http://jiba.niu.bi/chapters/0010.html)
10:39:05	6264/6264	---M--	200	added ('OK')	image/jpeg	etag:%2201993601747c51:1666%22	http://jiba.niu.bi/images/penisimg/lengthadd.jpg	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/lengthadd.jpg	(from http://jiba.niu.bi/chapters/0011.html)
10:39:05	15269/15269	---M--	200	added ('OK')	image/gif	etag:%22056861a853ac51:1666%22	http://jiba.niu.bi/images/penisimg/jelq4.gif	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/jelq4.gif	(from http://jiba.niu.bi/chapters/0010.html)
10:39:05	11815/11815	---M--	200	added ('OK')	image/gif	etag:%220a1f51843ac51:1666%22	http://jiba.niu.bi/images/penisimg/jelq3.gif	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/jelq3.gif	(from http://jiba.niu.bi/chapters/0010.html)
10:39:08	12660/12660	---M--	200	added ('OK')	image/gif	etag:%22063e39b3035c51:1666%22	http://jiba.niu.bi/images/penisimg/pc.gif	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/pc.gif	(from http://jiba.niu.bi/chapters/0013.html)
10:39:09	21457/21457	---M--	200	added ('OK')	image/jpeg	etag:%220a5c84ca745c51:1666%22	http://jiba.niu.bi/images/penisimg/testis.jpg	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/testis.jpg	(from http://jiba.niu.bi/chapters/0015.html)
10:39:10	4672/4672	---M--	200	added ('OK')	image/jpeg	etag:%220e195b77846c51:1666%22	http://jiba.niu.bi/images/penisimg/cir.jpg	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/cir.jpg	(from http://jiba.niu.bi/chapters/0024.html)
10:39:10	16730/16730	---M--	200	added ('OK')	image/jpeg	etag:%220c9b5597946c51:1666%22	http://jiba.niu.bi/images/penisimg/table.jpg	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/table.jpg	(from http://jiba.niu.bi/chapters/0024.html)
10:39:11	16395/16395	---M--	200	added ('OK')	image/jpeg	etag:%22027ce6f646c51:1666%22	http://jiba.niu.bi/images/penisimg/penis.jpg	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/penis.jpg	(from http://jiba.niu.bi/chapters/0033.html)
10:39:17	47556/47556	---M--	200	added ('OK')	image/gif	etag:%22010b95c3835c51:1666%22	http://jiba.niu.bi/images/penisimg/pcmuscle.gif	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/pcmuscle.gif	(from http://jiba.niu.bi/chapters/0042.html)
10:39:22	71328/71328	---M--	200	added ('OK')	image/gif	etag:%220cfe87c3835c51:1666%22	http://jiba.niu.bi/images/penisimg/powerarabicjelq.gif	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/powerarabicjelq.gif	(from http://jiba.niu.bi/chapters/0042.html)
10:39:23	82862/82862	---M--	200	added ('OK')	image/gif	etag:%2201ee0633835c51:1666%22	http://jiba.niu.bi/images/penisimg/powerpenis.gif	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/powerpenis.gif	(from http://jiba.niu.bi/chapters/0042.html)
10:39:29	103557/103557	---M--	200	added ('OK')	image/gif	etag:%22059386c3835c51:1666%22	http://jiba.niu.bi/images/penisimg/correct.gif	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/correct.gif	(from http://jiba.niu.bi/chapters/0042.html)
10:39:30	186308/186308	---M--	200	added ('OK')	image/gif	etag:%2203a2e723835c51:1666%22	http://jiba.niu.bi/images/penisimg/penisglans.gif	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/images/penisimg/penisglans.gif	(from http://jiba.niu.bi/chapters/0042.html)
